id,Video,Gesture,StartFrame,EndFrame
66,Knot_Tying_B004_capture2,G12,55,318
67,Knot_Tying_B004_capture2,G13,319,585
68,Knot_Tying_B004_capture2,G14,586,645
69,Knot_Tying_B004_capture2,G15,646,808
70,Knot_Tying_B004_capture2,G12,809,1268
71,Knot_Tying_B004_capture2,G13,1269,1451
72,Knot_Tying_B004_capture2,G14,1452,1539
73,Knot_Tying_B004_capture2,G15,1540,1637
74,Knot_Tying_B004_capture2,G11,1790,1820
75,Knot_Tying_C001_capture1,G12,37,134
76,Knot_Tying_C001_capture1,G13,135,160
77,Knot_Tying_C001_capture1,G14,161,327
78,Knot_Tying_C001_capture1,G15,328,609
79,Knot_Tying_C001_capture1,G12,610,887
80,Knot_Tying_C001_capture1,G13,888,934
81,Knot_Tying_C001_capture1,G14,935,999
82,Knot_Tying_C001_capture1,G15,1000,1139
83,Knot_Tying_C001_capture1,G11,1140,1227
84,Knot_Tying_C001_capture2,G12,37,134
85,Knot_Tying_C001_capture2,G13,135,160
86,Knot_Tying_C001_capture2,G14,161,327
87,Knot_Tying_C001_capture2,G15,328,609
88,Knot_Tying_C001_capture2,G12,610,887
89,Knot_Tying_C001_capture2,G13,888,934
90,Knot_Tying_C001_capture2,G14,935,999
91,Knot_Tying_C001_capture2,G15,1000,1139
92,Knot_Tying_C001_capture2,G11,1140,1227
93,Knot_Tying_C002_capture1,G1,28,82
94,Knot_Tying_C002_capture1,G12,83,183
95,Knot_Tying_C002_capture1,G13,184,211
96,Knot_Tying_C002_capture1,G14,212,259
97,Knot_Tying_C002_capture1,G15,260,384
98,Knot_Tying_C002_capture1,G12,385,633
99,Knot_Tying_C002_capture1,G13,634,676
100,Knot_Tying_C002_capture1,G14,677,736
101,Knot_Tying_C002_capture1,G15,737,849
102,Knot_Tying_C002_capture1,G11,850,1000
103,Knot_Tying_C002_capture2,G1,28,82
104,Knot_Tying_C002_capture2,G12,83,183
105,Knot_Tying_C002_capture2,G13,184,211
106,Knot_Tying_C002_capture2,G14,212,259
107,Knot_Tying_C002_capture2,G15,260,384
108,Knot_Tying_C002_capture2,G12,385,633
109,Knot_Tying_C002_capture2,G13,634,676
110,Knot_Tying_C002_capture2,G14,677,736
111,Knot_Tying_C002_capture2,G15,737,849
112,Knot_Tying_C002_capture2,G11,850,1000
113,Knot_Tying_C003_capture1,G1,1,61
114,Knot_Tying_C003_capture1,G12,62,185
115,Knot_Tying_C003_capture1,G13,186,221
116,Knot_Tying_C003_capture1,G14,222,270
117,Knot_Tying_C003_capture1,G15,271,440
118,Knot_Tying_C003_capture1,G14,441,516
119,Knot_Tying_C003_capture1,G12,517,638
120,Knot_Tying_C003_capture1,G13,639,676
121,Knot_Tying_C003_capture1,G14,677,734
122,Knot_Tying_C003_capture1,G15,735,943
123,Knot_Tying_C003_capture1,G11,944,1045
124,Knot_Tying_C003_capture2,G1,1,61
125,Knot_Tying_C003_capture2,G12,62,185
126,Knot_Tying_C003_capture2,G13,186,221
127,Knot_Tying_C003_capture2,G14,222,270
128,Knot_Tying_C003_capture2,G15,271,440
129,Knot_Tying_C003_capture2,G14,441,516
130,Knot_Tying_C003_capture2,G12,517,638
131,Knot_Tying_C003_capture2,G13,639,676
132,Knot_Tying_C003_capture2,G14,677,734
133,Knot_Tying_C003_capture2,G15,735,943
134,Knot_Tying_C003_capture2,G11,944,1045
135,Knot_Tying_C004_capture1,G1,40,159
136,Knot_Tying_C004_capture1,G12,160,265
137,Knot_Tying_C004_capture1,G13,266,297
138,Knot_Tying_C004_capture1,G14,298,350
139,Knot_Tying_C004_capture1,G15,351,521
140,Knot_Tying_C004_capture1,G14,522,611
141,Knot_Tying_C004_capture1,G12,612,731
142,Knot_Tying_C004_capture1,G13,732,871
143,Knot_Tying_C004_capture1,G14,872,974
144,Knot_Tying_C004_capture1,G15,975,1189
145,Knot_Tying_C004_capture1,G11,1190,1300
146,Knot_Tying_C004_capture2,G1,40,159
147,Knot_Tying_C004_capture2,G12,160,265
148,Knot_Tying_C004_capture2,G13,266,297
149,Knot_Tying_C004_capture2,G14,298,350
150,Knot_Tying_C004_capture2,G15,351,521
151,Knot_Tying_C004_capture2,G14,522,611
152,Knot_Tying_C004_capture2,G12,612,731
153,Knot_Tying_C004_capture2,G13,732,871
154,Knot_Tying_C004_capture2,G14,872,974
155,Knot_Tying_C004_capture2,G15,975,1189
156,Knot_Tying_C004_capture2,G11,1190,1300
157,Knot_Tying_C005_capture1,G1,20,92
158,Knot_Tying_C005_capture1,G12,93,201
159,Knot_Tying_C005_capture1,G13,202,244
160,Knot_Tying_C005_capture1,G14,245,439
161,Knot_Tying_C005_capture1,G15,440,601
162,Knot_Tying_C005_capture1,G14,602,638
163,Knot_Tying_C005_capture1,G12,639,785
164,Knot_Tying_C005_capture1,G13,786,827
165,Knot_Tying_C005_capture1,G14,828,870
166,Knot_Tying_C005_capture1,G15,871,982
167,Knot_Tying_C005_capture1,G11,983,1037
168,Knot_Tying_C005_capture2,G1,20,92
169,Knot_Tying_C005_capture2,G12,93,201
170,Knot_Tying_C005_capture2,G13,202,244
171,Knot_Tying_C005_capture2,G14,245,439
172,Knot_Tying_C005_capture2,G15,440,601
173,Knot_Tying_C005_capture2,G14,602,638
174,Knot_Tying_C005_capture2,G12,639,785
175,Knot_Tying_C005_capture2,G13,786,827
176,Knot_Tying_C005_capture2,G14,828,870
177,Knot_Tying_C005_capture2,G15,871,982
178,Knot_Tying_C005_capture2,G11,983,1037
179,Knot_Tying_D001_capture1,G1,41,170
180,Knot_Tying_D001_capture1,G12,171,237
181,Knot_Tying_D001_capture1,G13,238,310
182,Knot_Tying_D001_capture1,G14,311,624
183,Knot_Tying_D001_capture1,G15,625,734
184,Knot_Tying_D001_capture1,G14,735,831
185,Knot_Tying_D001_capture1,G12,832,989
186,Knot_Tying_D001_capture1,G13,990,1120
187,Knot_Tying_D001_capture1,G14,1121,1174
188,Knot_Tying_D001_capture1,G15,1175,1276
189,Knot_Tying_D001_capture1,G11,1277,1348
190,Knot_Tying_D001_capture2,G1,41,170
191,Knot_Tying_D001_capture2,G12,171,237
192,Knot_Tying_D001_capture2,G13,238,310
193,Knot_Tying_D001_capture2,G14,311,624
194,Knot_Tying_D001_capture2,G15,625,734
195,Knot_Tying_D001_capture2,G14,735,831
196,Knot_Tying_D001_capture2,G12,832,989
197,Knot_Tying_D001_capture2,G13,990,1120
198,Knot_Tying_D001_capture2,G14,1121,1174
199,Knot_Tying_D001_capture2,G15,1175,1276
200,Knot_Tying_D001_capture2,G11,1277,1348
201,Knot_Tying_D002_capture1,G1,21,105
202,Knot_Tying_D002_capture1,G12,106,221
203,Knot_Tying_D002_capture1,G13,222,293
204,Knot_Tying_D002_capture1,G14,294,410
205,Knot_Tying_D002_capture1,G15,411,553
206,Knot_Tying_D002_capture1,G14,554,634
207,Knot_Tying_D002_capture1,G12,635,799
208,Knot_Tying_D002_capture1,G13,800,894
209,Knot_Tying_D002_capture1,G14,895,1007
210,Knot_Tying_D002_capture1,G15,1008,1151
211,Knot_Tying_D002_capture1,G11,1152,1227
212,Knot_Tying_D002_capture2,G1,21,105
213,Knot_Tying_D002_capture2,G12,106,221
214,Knot_Tying_D002_capture2,G13,222,293
215,Knot_Tying_D002_capture2,G14,294,410
216,Knot_Tying_D002_capture2,G15,411,553
217,Knot_Tying_D002_capture2,G14,554,634
218,Knot_Tying_D002_capture2,G12,635,799
219,Knot_Tying_D002_capture2,G13,800,894
220,Knot_Tying_D002_capture2,G14,895,1007
221,Knot_Tying_D002_capture2,G15,1008,1151
222,Knot_Tying_D002_capture2,G11,1152,1227
223,Knot_Tying_D003_capture1,G1,25,93
224,Knot_Tying_D003_capture1,G12,94,211
225,Knot_Tying_D003_capture1,G13,212,300
226,Knot_Tying_D003_capture1,G14,301,359
227,Knot_Tying_D003_capture1,G15,360,479
228,Knot_Tying_D003_capture1,G14,480,551
229,Knot_Tying_D003_capture1,G12,552,729
230,Knot_Tying_D003_capture1,G13,730,1012
231,Knot_Tying_D003_capture1,G14,1013,1060
232,Knot_Tying_D003_capture1,G15,1061,1151
233,Knot_Tying_D003_capture1,G11,1152,1220
234,Knot_Tying_D003_capture2,G1,25,93
235,Knot_Tying_D003_capture2,G12,94,211
236,Knot_Tying_D003_capture2,G13,212,300
237,Knot_Tying_D003_capture2,G14,301,359
238,Knot_Tying_D003_capture2,G15,360,479
239,Knot_Tying_D003_capture2,G14,480,551
240,Knot_Tying_D003_capture2,G12,552,729
241,Knot_Tying_D003_capture2,G13,730,1012
242,Knot_Tying_D003_capture2,G14,1013,1060
243,Knot_Tying_D003_capture2,G15,1061,1151
244,Knot_Tying_D003_capture2,G11,1152,1220
245,Knot_Tying_D004_capture1,G1,28,109
246,Knot_Tying_D004_capture1,G12,110,216
247,Knot_Tying_D004_capture1,G13,217,262
248,Knot_Tying_D004_capture1,G14,263,313
249,Knot_Tying_D004_capture1,G15,314,411
250,Knot_Tying_D004_capture1,G14,412,488
251,Knot_Tying_D004_capture1,G12,489,610
252,Knot_Tying_D004_capture1,G13,611,686
253,Knot_Tying_D004_capture1,G14,687,765
254,Knot_Tying_D004_capture1,G15,766,859
255,Knot_Tying_D004_capture1,G11,860,936
256,Knot_Tying_D004_capture2,G1,28,109
257,Knot_Tying_D004_capture2,G12,110,216
258,Knot_Tying_D004_capture2,G13,217,262
259,Knot_Tying_D004_capture2,G14,263,313
260,Knot_Tying_D004_capture2,G15,314,411
261,Knot_Tying_D004_capture2,G14,412,488
262,Knot_Tying_D004_capture2,G12,489,610
263,Knot_Tying_D004_capture2,G13,611,686
264,Knot_Tying_D004_capture2,G14,687,765
265,Knot_Tying_D004_capture2,G15,766,859
266,Knot_Tying_D004_capture2,G11,860,936
267,Knot_Tying_D005_capture1,G1,20,83
268,Knot_Tying_D005_capture1,G12,84,223
269,Knot_Tying_D005_capture1,G13,224,309
270,Knot_Tying_D005_capture1,G14,310,385
271,Knot_Tying_D005_capture1,G15,386,530
272,Knot_Tying_D005_capture1,G14,531,594
273,Knot_Tying_D005_capture1,G12,595,703
274,Knot_Tying_D005_capture1,G13,704,772
275,Knot_Tying_D005_capture1,G14,773,860
276,Knot_Tying_D005_capture1,G15,861,1033
277,Knot_Tying_D005_capture1,G11,1034,1117
278,Knot_Tying_D005_capture2,G1,20,83
279,Knot_Tying_D005_capture2,G12,84,223
280,Knot_Tying_D005_capture2,G13,224,309
281,Knot_Tying_D005_capture2,G14,310,385
282,Knot_Tying_D005_capture2,G15,386,530
283,Knot_Tying_D005_capture2,G14,531,594
284,Knot_Tying_D005_capture2,G12,595,703
285,Knot_Tying_D005_capture2,G13,704,772
286,Knot_Tying_D005_capture2,G14,773,860
287,Knot_Tying_D005_capture2,G15,861,1033
288,Knot_Tying_D005_capture2,G11,1034,1117
289,Knot_Tying_E001_capture1,G12,139,369
290,Knot_Tying_E001_capture1,G13,370,520
291,Knot_Tying_E001_capture1,G14,521,589
292,Knot_Tying_E001_capture1,G15,590,732
293,Knot_Tying_E001_capture1,G14,733,841
294,Knot_Tying_E001_capture1,G12,842,955
295,Knot_Tying_E001_capture1,G13,956,1027
296,Knot_Tying_E001_capture1,G14,1028,1104
297,Knot_Tying_E001_capture1,G15,1105,1434
298,Knot_Tying_E001_capture1,G11,1435,1550
299,Knot_Tying_E001_capture2,G12,139,369
300,Knot_Tying_E001_capture2,G13,370,520
301,Knot_Tying_E001_capture2,G14,521,589
302,Knot_Tying_E001_capture2,G15,590,732
303,Knot_Tying_E001_capture2,G14,733,841
304,Knot_Tying_E001_capture2,G12,842,955
305,Knot_Tying_E001_capture2,G13,956,1027
306,Knot_Tying_E001_capture2,G14,1028,1104
307,Knot_Tying_E001_capture2,G15,1105,1434
308,Knot_Tying_E001_capture2,G11,1435,1550
309,Knot_Tying_E002_capture1,G1,40,135
310,Knot_Tying_E002_capture1,G12,136,270
311,Knot_Tying_E002_capture1,G13,271,368
312,Knot_Tying_E002_capture1,G14,369,434
313,Knot_Tying_E002_capture1,G15,435,614
314,Knot_Tying_E002_capture1,G14,615,717
315,Knot_Tying_E002_capture1,G12,718,844
316,Knot_Tying_E002_capture1,G13,845,956
317,Knot_Tying_E002_capture1,G14,957,1010
318,Knot_Tying_E002_capture1,G15,1011,1157
319,Knot_Tying_E002_capture1,G11,1158,1257
320,Knot_Tying_E002_capture2,G1,40,135
321,Knot_Tying_E002_capture2,G12,136,270
322,Knot_Tying_E002_capture2,G13,271,368
323,Knot_Tying_E002_capture2,G14,369,434
324,Knot_Tying_E002_capture2,G15,435,614
325,Knot_Tying_E002_capture2,G14,615,717
326,Knot_Tying_E002_capture2,G12,718,844
327,Knot_Tying_E002_capture2,G13,845,956
328,Knot_Tying_E002_capture2,G14,957,1010
329,Knot_Tying_E002_capture2,G15,1011,1157
330,Knot_Tying_E002_capture2,G11,1158,1257
331,Knot_Tying_E003_capture1,G1,163,242
332,Knot_Tying_E003_capture1,G12,243,399
333,Knot_Tying_E003_capture1,G13,400,503
334,Knot_Tying_E003_capture1,G14,504,571
335,Knot_Tying_E003_capture1,G15,572,751
336,Knot_Tying_E003_capture1,G14,752,883
337,Knot_Tying_E003_capture1,G12,884,975
338,Knot_Tying_E003_capture1,G13,976,1054
339,Knot_Tying_E003_capture1,G14,1055,1101
340,Knot_Tying_E003_capture1,G15,1102,1249
341,Knot_Tying_E003_capture1,G11,1250,1360
342,Knot_Tying_E003_capture2,G1,163,242
343,Knot_Tying_E003_capture2,G12,243,399
344,Knot_Tying_E003_capture2,G13,400,503
345,Knot_Tying_E003_capture2,G14,504,571
346,Knot_Tying_E003_capture2,G15,572,751
347,Knot_Tying_E003_capture2,G14,752,883
348,Knot_Tying_E003_capture2,G12,884,975
349,Knot_Tying_E003_capture2,G13,976,1054
350,Knot_Tying_E003_capture2,G14,1055,1101
351,Knot_Tying_E003_capture2,G15,1102,1249
352,Knot_Tying_E003_capture2,G11,1250,1360
353,Knot_Tying_E004_capture1,G1,60,123
354,Knot_Tying_E004_capture1,G12,124,265
355,Knot_Tying_E004_capture1,G13,266,361
356,Knot_Tying_E004_capture1,G14,362,429
357,Knot_Tying_E004_capture1,G15,430,640
358,Knot_Tying_E004_capture1,G14,641,785
359,Knot_Tying_E004_capture1,G12,786,933
360,Knot_Tying_E004_capture1,G13,934,1018
361,Knot_Tying_E004_capture1,G14,1019,1093
362,Knot_Tying_E004_capture1,G15,1094,1265
363,Knot_Tying_E004_capture1,G11,1266,1363
364,Knot_Tying_E004_capture2,G1,60,123
365,Knot_Tying_E004_capture2,G12,124,265
366,Knot_Tying_E004_capture2,G13,266,361
367,Knot_Tying_E004_capture2,G14,362,429
368,Knot_Tying_E004_capture2,G15,430,640
369,Knot_Tying_E004_capture2,G14,641,785
370,Knot_Tying_E004_capture2,G12,786,933
371,Knot_Tying_E004_capture2,G13,934,1018
372,Knot_Tying_E004_capture2,G14,1019,1093
373,Knot_Tying_E004_capture2,G15,1094,1265
374,Knot_Tying_E004_capture2,G11,1266,1363
375,Knot_Tying_E005_capture1,G1,43,131
376,Knot_Tying_E005_capture1,G12,132,288
377,Knot_Tying_E005_capture1,G13,289,357
378,Knot_Tying_E005_capture1,G14,358,441
379,Knot_Tying_E005_capture1,G15,442,602
380,Knot_Tying_E005_capture1,G14,603,673
381,Knot_Tying_E005_capture1,G12,674,779
382,Knot_Tying_E005_capture1,G13,780,838
383,Knot_Tying_E005_capture1,G14,839,896
384,Knot_Tying_E005_capture1,G15,897,1085
385,Knot_Tying_E005_capture1,G11,1086,1170
386,Knot_Tying_E005_capture2,G1,43,131
387,Knot_Tying_E005_capture2,G12,132,288
388,Knot_Tying_E005_capture2,G13,289,357
389,Knot_Tying_E005_capture2,G14,358,441
390,Knot_Tying_E005_capture2,G15,442,602
391,Knot_Tying_E005_capture2,G14,603,673
392,Knot_Tying_E005_capture2,G12,674,779
393,Knot_Tying_E005_capture2,G13,780,838
394,Knot_Tying_E005_capture2,G14,839,896
395,Knot_Tying_E005_capture2,G15,897,1085
396,Knot_Tying_E005_capture2,G11,1086,1170
397,Knot_Tying_F001_capture1,G12,1,34
398,Knot_Tying_F001_capture1,G13,35,86
399,Knot_Tying_F001_capture1,G14,87,133
400,Knot_Tying_F001_capture1,G15,134,354
401,Knot_Tying_F001_capture1,G14,355,415
402,Knot_Tying_F001_capture1,G12,416,477
403,Knot_Tying_F001_capture1,G13,478,591
404,Knot_Tying_F001_capture1,G14,592,709
405,Knot_Tying_F001_capture1,G15,710,841
406,Knot_Tying_F001_capture1,G11,842,896
407,Knot_Tying_F001_capture2,G12,1,34
408,Knot_Tying_F001_capture2,G13,35,86
409,Knot_Tying_F001_capture2,G14,87,133
410,Knot_Tying_F001_capture2,G15,134,354
411,Knot_Tying_F001_capture2,G14,355,415
412,Knot_Tying_F001_capture2,G12,416,477
413,Knot_Tying_F001_capture2,G13,478,591
414,Knot_Tying_F001_capture2,G14,592,709
415,Knot_Tying_F001_capture2,G15,710,841
416,Knot_Tying_F001_capture2,G11,842,896
417,Knot_Tying_F002_capture1,G12,1,52
418,Knot_Tying_F002_capture1,G13,53,129
419,Knot_Tying_F002_capture1,G14,130,238
420,Knot_Tying_F002_capture1,G15,239,400
421,Knot_Tying_F002_capture1,G14,401,462
422,Knot_Tying_F002_capture1,G12,463,540
423,Knot_Tying_F002_capture1,G13,541,597
424,Knot_Tying_F002_capture1,G14,598,651
425,Knot_Tying_F002_capture1,G15,652,919
426,Knot_Tying_F002_capture1,G11,920,984
427,Knot_Tying_F002_capture2,G12,1,52
428,Knot_Tying_F002_capture2,G13,53,129
429,Knot_Tying_F002_capture2,G14,130,238
430,Knot_Tying_F002_capture2,G15,239,400
431,Knot_Tying_F002_capture2,G14,401,462
432,Knot_Tying_F002_capture2,G12,463,540
433,Knot_Tying_F002_capture2,G13,541,597
434,Knot_Tying_F002_capture2,G14,598,651
435,Knot_Tying_F002_capture2,G15,652,919
436,Knot_Tying_F002_capture2,G11,920,984
437,Knot_Tying_F003_capture1,G12,89,351
438,Knot_Tying_F003_capture1,G13,352,440
439,Knot_Tying_F003_capture1,G14,441,1189
440,Knot_Tying_F003_capture1,G15,1190,1342
441,Knot_Tying_F003_capture1,G12,1343,1704
442,Knot_Tying_F003_capture1,G13,1705,1799
443,Knot_Tying_F003_capture1,G14,1800,2235
444,Knot_Tying_F003_capture1,G15,2236,2504
445,Knot_Tying_F003_capture1,G11,2505,2600
446,Knot_Tying_F003_capture2,G12,89,351
447,Knot_Tying_F003_capture2,G13,352,440
448,Knot_Tying_F003_capture2,G14,441,1189
449,Knot_Tying_F003_capture2,G15,1190,1342
450,Knot_Tying_F003_capture2,G12,1343,1704
451,Knot_Tying_F003_capture2,G13,1705,1799
452,Knot_Tying_F003_capture2,G14,1800,2235
453,Knot_Tying_F003_capture2,G15,2236,2504
454,Knot_Tying_F003_capture2,G11,2505,2600
455,Knot_Tying_F004_capture1,G12,1,42
456,Knot_Tying_F004_capture1,G13,43,113
457,Knot_Tying_F004_capture1,G14,114,400
458,Knot_Tying_F004_capture1,G15,401,602
459,Knot_Tying_F004_capture1,G14,603,682
460,Knot_Tying_F004_capture1,G12,683,891
461,Knot_Tying_F004_capture1,G13,892,1132
462,Knot_Tying_F004_capture1,G14,1133,1291
463,Knot_Tying_F004_capture1,G15,1292,1730
464,Knot_Tying_F004_capture1,G11,1731,1792
465,Knot_Tying_F004_capture2,G12,1,42
466,Knot_Tying_F004_capture2,G13,43,113
467,Knot_Tying_F004_capture2,G14,114,400
468,Knot_Tying_F004_capture2,G15,401,602
469,Knot_Tying_F004_capture2,G14,603,682
470,Knot_Tying_F004_capture2,G12,683,891
471,Knot_Tying_F004_capture2,G13,892,1132
472,Knot_Tying_F004_capture2,G14,1133,1291
473,Knot_Tying_F004_capture2,G15,1292,1730
474,Knot_Tying_F004_capture2,G11,1731,1792
475,Knot_Tying_F005_capture1,G1,13,185
476,Knot_Tying_F005_capture1,G12,186,254
477,Knot_Tying_F005_capture1,G13,255,314
478,Knot_Tying_F005_capture1,G14,315,392
479,Knot_Tying_F005_capture1,G15,393,616
480,Knot_Tying_F005_capture1,G14,617,786
481,Knot_Tying_F005_capture1,G12,787,869
482,Knot_Tying_F005_capture1,G13,870,920
483,Knot_Tying_F005_capture1,G14,921,978
484,Knot_Tying_F005_capture1,G15,979,1247
485,Knot_Tying_F005_capture1,G11,1248,1300
486,Knot_Tying_F005_capture2,G1,13,185
487,Knot_Tying_F005_capture2,G12,186,254
488,Knot_Tying_F005_capture2,G13,255,314
489,Knot_Tying_F005_capture2,G14,315,392
490,Knot_Tying_F005_capture2,G15,393,616
491,Knot_Tying_F005_capture2,G14,617,786
492,Knot_Tying_F005_capture2,G12,787,869
493,Knot_Tying_F005_capture2,G13,870,920
494,Knot_Tying_F005_capture2,G14,921,978
495,Knot_Tying_F005_capture2,G15,979,1247
496,Knot_Tying_F005_capture2,G11,1248,1300
497,Knot_Tying_G001_capture1,G15,182,245
498,Knot_Tying_G001_capture1,G12,246,523
499,Knot_Tying_G001_capture1,G13,524,608
500,Knot_Tying_G001_capture1,G14,609,654
501,Knot_Tying_G001_capture1,G15,655,1302
502,Knot_Tying_G001_capture1,G12,1303,1419
503,Knot_Tying_G001_capture1,G13,1420,1520
504,Knot_Tying_G001_capture1,G14,1521,1567
505,Knot_Tying_G001_capture1,G15,1568,2218
506,Knot_Tying_G001_capture1,G11,2219,2310
507,Knot_Tying_G001_capture2,G15,182,245
508,Knot_Tying_G001_capture2,G12,246,523
509,Knot_Tying_G001_capture2,G13,524,608
510,Knot_Tying_G001_capture2,G14,609,654
511,Knot_Tying_G001_capture2,G15,655,1302
512,Knot_Tying_G001_capture2,G12,1303,1419
513,Knot_Tying_G001_capture2,G13,1420,1520
514,Knot_Tying_G001_capture2,G14,1521,1567
515,Knot_Tying_G001_capture2,G15,1568,2218
516,Knot_Tying_G001_capture2,G11,2219,2310
517,Knot_Tying_G002_capture1,G12,1,259
518,Knot_Tying_G002_capture1,G13,260,327
519,Knot_Tying_G002_capture1,G14,328,662
520,Knot_Tying_G002_capture1,G12,663,1041
521,Knot_Tying_G002_capture1,G13,1042,1109
522,Knot_Tying_G002_capture1,G14,1110,1219
523,Knot_Tying_G002_capture1,G15,1220,2103
524,Knot_Tying_G002_capture1,G11,2104,2197
525,Knot_Tying_G002_capture2,G12,1,259
526,Knot_Tying_G002_capture2,G13,260,327
527,Knot_Tying_G002_capture2,G14,328,662
528,Knot_Tying_G002_capture2,G12,663,1041
529,Knot_Tying_G002_capture2,G13,1042,1109
530,Knot_Tying_G002_capture2,G14,1110,1219
531,Knot_Tying_G002_capture2,G15,1220,2103
532,Knot_Tying_G002_capture2,G11,2104,2197
533,Knot_Tying_G003_capture1,G12,175,468
534,Knot_Tying_G003_capture1,G13,469,538
535,Knot_Tying_G003_capture1,G14,539,612
536,Knot_Tying_G003_capture1,G15,613,1138
537,Knot_Tying_G003_capture1,G12,1139,1689
538,Knot_Tying_G003_capture1,G13,1690,1751
539,Knot_Tying_G003_capture1,G14,1752,1915
540,Knot_Tying_G003_capture1,G15,1916,2275
541,Knot_Tying_G003_capture1,G11,2276,2361
542,Knot_Tying_G003_capture2,G12,175,468
543,Knot_Tying_G003_capture2,G13,469,538
544,Knot_Tying_G003_capture2,G14,539,612
545,Knot_Tying_G003_capture2,G15,613,1138
546,Knot_Tying_G003_capture2,G12,1139,1689
547,Knot_Tying_G003_capture2,G13,1690,1751
548,Knot_Tying_G003_capture2,G14,1752,1915
549,Knot_Tying_G003_capture2,G15,1916,2275
550,Knot_Tying_G003_capture2,G11,2276,2361
551,Knot_Tying_G004_capture1,G12,80,359
552,Knot_Tying_G004_capture1,G13,360,439
553,Knot_Tying_G004_capture1,G14,440,1283
554,Knot_Tying_G004_capture1,G12,1284,1529
555,Knot_Tying_G004_capture1,G13,1530,1605
556,Knot_Tying_G004_capture1,G14,1606,1683
557,Knot_Tying_G004_capture1,G15,1684,2305
558,Knot_Tying_G004_capture1,G12,2306,2426
559,Knot_Tying_G004_capture1,G13,2427,2511
560,Knot_Tying_G004_capture1,G14,2512,2619
561,Knot_Tying_G004_capture1,G15,2620,3258
562,Knot_Tying_G004_capture1,G12,3259,3342
563,Knot_Tying_G004_capture1,G13,3343,3422
564,Knot_Tying_G004_capture1,G14,3423,3471
565,Knot_Tying_G004_capture1,G15,3472,3754
566,Knot_Tying_G004_capture1,G11,3755,3853
567,Knot_Tying_G004_capture2,G12,80,359
568,Knot_Tying_G004_capture2,G13,360,439
