,path1,path2,category,label,flowpath
36,images\inference-video-1\frame_00000541.jpg,images\inference-video-1\frame_00000556.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000036.jpg
37,images\inference-video-1\frame_00000556.jpg,images\inference-video-1\frame_00000571.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000037.jpg
38,images\inference-video-1\frame_00000571.jpg,images\inference-video-1\frame_00000586.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000038.jpg
39,images\inference-video-1\frame_00000586.jpg,images\inference-video-1\frame_00000601.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000039.jpg
40,images\inference-video-1\frame_00000601.jpg,images\inference-video-1\frame_00000616.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000040.jpg
41,images\inference-video-1\frame_00000616.jpg,images\inference-video-1\frame_00000631.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000041.jpg
42,images\inference-video-1\frame_00000631.jpg,images\inference-video-1\frame_00000646.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000042.jpg
43,images\inference-video-1\frame_00000646.jpg,images\inference-video-1\frame_00000661.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000043.jpg
44,images\inference-video-1\frame_00000661.jpg,images\inference-video-1\frame_00000676.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000044.jpg
45,images\inference-video-1\frame_00000676.jpg,images\inference-video-1\frame_00000691.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000045.jpg
46,images\inference-video-1\frame_00000691.jpg,images\inference-video-1\frame_00000706.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000046.jpg
47,images\inference-video-1\frame_00000706.jpg,images\inference-video-1\frame_00000721.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000047.jpg
48,images\inference-video-1\frame_00000721.jpg,images\inference-video-1\frame_00000736.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000048.jpg
49,images\inference-video-1\frame_00000736.jpg,images\inference-video-1\frame_00000751.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000049.jpg
50,images\inference-video-1\frame_00000751.jpg,images\inference-video-1\frame_00000766.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000050.jpg
51,images\inference-video-1\frame_00000766.jpg,images\inference-video-1\frame_00000781.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000051.jpg
52,images\inference-video-1\frame_00000781.jpg,images\inference-video-1\frame_00000796.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000052.jpg
53,images\inference-video-1\frame_00000796.jpg,images\inference-video-1\frame_00000811.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000053.jpg
54,images\inference-video-1\frame_00000811.jpg,images\inference-video-1\frame_00000826.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000054.jpg
55,images\inference-video-1\frame_00000826.jpg,images\inference-video-1\frame_00000841.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000055.jpg
56,images\inference-video-1\frame_00000841.jpg,images\inference-video-1\frame_00000856.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000056.jpg
57,images\inference-video-1\frame_00000856.jpg,images\inference-video-1\frame_00000871.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000057.jpg
58,images\inference-video-1\frame_00000871.jpg,images\inference-video-1\frame_00000886.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000058.jpg
59,images\inference-video-1\frame_00000886.jpg,images\inference-video-1\frame_00000901.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000059.jpg
60,images\inference-video-1\frame_00000901.jpg,images\inference-video-1\frame_00000916.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000060.jpg
61,images\inference-video-1\frame_00000916.jpg,images\inference-video-1\frame_00000931.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000061.jpg
62,images\inference-video-1\frame_00000931.jpg,images\inference-video-1\frame_00000946.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000062.jpg
63,images\inference-video-1\frame_00000946.jpg,images\inference-video-1\frame_00000961.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000063.jpg
64,images\inference-video-1\frame_00000961.jpg,images\inference-video-1\frame_00000976.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000064.jpg
65,images\inference-video-1\frame_00000976.jpg,images\inference-video-1\frame_00000991.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000065.jpg
66,images\inference-video-1\frame_00000991.jpg,images\inference-video-1\frame_00001006.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000066.jpg
67,images\inference-video-1\frame_00001006.jpg,images\inference-video-1\frame_00001021.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000067.jpg
68,images\inference-video-1\frame_00001021.jpg,images\inference-video-1\frame_00001036.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000068.jpg
69,images\inference-video-1\frame_00001036.jpg,images\inference-video-1\frame_00001051.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000069.jpg
70,images\inference-video-1\frame_00001051.jpg,images\inference-video-1\frame_00001066.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000070.jpg
71,images\inference-video-1\frame_00001066.jpg,images\inference-video-1\frame_00001081.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000071.jpg
72,images\inference-video-1\frame_00001081.jpg,images\inference-video-1\frame_00001096.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000072.jpg
73,images\inference-video-1\frame_00001096.jpg,images\inference-video-1\frame_00001111.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000073.jpg
74,images\inference-video-1\frame_00001111.jpg,images\inference-video-1\frame_00001126.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000074.jpg
75,images\inference-video-1\frame_00001126.jpg,images\inference-video-1\frame_00001141.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000075.jpg
76,images\inference-video-1\frame_00001141.jpg,images\inference-video-1\frame_00001156.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000076.jpg
77,images\inference-video-1\frame_00001156.jpg,images\inference-video-1\frame_00001171.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000077.jpg
78,images\inference-video-1\frame_00001171.jpg,images\inference-video-1\frame_00001186.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000078.jpg
79,images\inference-video-1\frame_00001186.jpg,images\inference-video-1\frame_00001201.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000079.jpg
80,images\inference-video-1\frame_00001201.jpg,images\inference-video-1\frame_00001216.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000080.jpg
81,images\inference-video-1\frame_00001216.jpg,images\inference-video-1\frame_00001231.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000081.jpg
82,images\inference-video-1\frame_00001231.jpg,images\inference-video-1\frame_00001246.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000082.jpg
83,images\inference-video-1\frame_00001246.jpg,images\inference-video-1\frame_00001261.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000083.jpg
84,images\inference-video-1\frame_00001261.jpg,images\inference-video-1\frame_00001276.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000084.jpg
85,images\inference-video-1\frame_00001276.jpg,images\inference-video-1\frame_00001291.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000085.jpg
86,images\inference-video-1\frame_00001291.jpg,images\inference-video-1\frame_00001306.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000086.jpg
87,images\inference-video-1\frame_00001306.jpg,images\inference-video-1\frame_00001321.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000087.jpg
88,images\inference-video-1\frame_00001321.jpg,images\inference-video-1\frame_00001336.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000088.jpg
89,images\inference-video-1\frame_00001336.jpg,images\inference-video-1\frame_00001351.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000089.jpg
90,images\inference-video-1\frame_00001351.jpg,images\inference-video-1\frame_00001366.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000090.jpg
91,images\inference-video-1\frame_00001366.jpg,images\inference-video-1\frame_00001381.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000091.jpg
92,images\inference-video-1\frame_00001381.jpg,images\inference-video-1\frame_00001396.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000092.jpg
93,images\inference-video-1\frame_00001396.jpg,images\inference-video-1\frame_00001411.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000093.jpg
94,images\inference-video-1\frame_00001411.jpg,images\inference-video-1\frame_00001426.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000094.jpg
95,images\inference-video-1\frame_00001426.jpg,images\inference-video-1\frame_00001441.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000095.jpg
96,images\inference-video-1\frame_00001441.jpg,images\inference-video-1\frame_00001456.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000096.jpg
97,images\inference-video-1\frame_00001456.jpg,images\inference-video-1\frame_00001471.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000097.jpg
98,images\inference-video-1\frame_00001471.jpg,images\inference-video-1\frame_00001486.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000098.jpg
99,images\inference-video-1\frame_00001486.jpg,images\inference-video-1\frame_00001501.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000099.jpg
100,images\inference-video-1\frame_00001501.jpg,images\inference-video-1\frame_00001516.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000100.jpg
101,images\inference-video-1\frame_00001516.jpg,images\inference-video-1\frame_00001531.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000101.jpg
102,images\inference-video-1\frame_00001531.jpg,images\inference-video-1\frame_00001546.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000102.jpg
103,images\inference-video-1\frame_00001546.jpg,images\inference-video-1\frame_00001561.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000103.jpg
104,images\inference-video-1\frame_00001561.jpg,images\inference-video-1\frame_00001576.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000104.jpg
105,images\inference-video-1\frame_00001576.jpg,images\inference-video-1\frame_00001591.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000105.jpg
106,images\inference-video-1\frame_00001591.jpg,images\inference-video-1\frame_00001606.jpg,inference-video-1,inference-video-1,flows\inference-video-1\flows_00000106.jpg
